,id,cws_id,image_url,name,age_months,gender,breed,primary_color,description,details,playful,active,curious,talkative,quiet,loving,sweet,likes_held,friendly,shy,spicy,loves_attention,age_group,energy_level,attention_need,personality,fosterer,good_first_cat,good_with_other_cats,good_with_other_dogs,good_with_kids,preferred_employment,preferred_home_ownership,good_with_allergies,require_fee,created_at,updated_at
10,40c0253c-b695-4c55-b1bf-ead2151c7da7,1681491480-221,https://petfinder6000images.s3.ap-southeast-1.amazonaws.com/cropped_1681491480-221.jpg,Gorgeous Hope looking for a forever home,72,male,domestic short hair,others,"sweet, friendly","hi everyone .. i am hope.
 i have been staying in a cage at the shelter for quite some time.
 i am very human friendly and enjoy all the rubs and attention the volunteers give me… sadly i am visited mostly over the weekend.
 on week days, i will be on my own, in my cage.
i am at least 5 years old, in good health, and i eat well.
 if you can welcome me to your home, i will have more roaming space, and perhaps jump a little higher too.
 a few criteria for my new mommy/daddy:

home needs to be cat-proofed so i stay safe and well
provide me with the right diet to keep me healthy and strong
bring me for a check at the vet after i have settled into my new home – this is to provide a peace of mind to my mommy/daddy of my health status
be committed to caring for me .. till i bid farewell
allow for home visits before and after adoption – date/time to be arranged to suit adopter

come and see me if you can, i will show you what a good boy i am
please watsapp 97471339 to make an appointment at the shelter.
 i look forward to meeting you!",False,False,False,False,False,False,True,False,True,False,False,False,adult,chill,neutral,sweet,5,neutral,neutral,neutral,neutral,working part time,rental with landlord’s consent,no allergies,yes,2023-05-15T02:51:12.884Z,2023-05-15T02:51:12.884Z
11,1308e1c0-c845-4f19-929c-2cb6c4df9097,1681491819-371,https://petfinder6000images.s3.ap-southeast-1.amazonaws.com/cropped_1681491819-371.jpg,Adopt mittens!,24,female,domestic short hair,calico/tortie,"talkative, loving, sweet, likes to be held, friendly, loves attention","-adoption post-
if you’re looking for a sweet affectionate human-loving lap cat that can be carried, this is the cat!
mittens was found abandoned at amk, skinny and malnourished. despite posts to source for owner, no one came forward to claim her too. their loss
mittens is a domestic medium fur cat with beautiful light grey/ginger tortie fur and a long bushy tail. she looks like a little mouse with her pointy face and cute little pink nose. her fur is a little sparse when found but with proper nutrition and hygiene, her fur coat is now getting denser and fuller.
mittens has an affectionate personality. she can be carried and placed on your lap. she also loves head and belly rubs. she loves attention and will respond when you talk to her. when you don’t, she’ll also call out to you  she’s also quick to get familiar with people, and is ideal to a home that hosts visitors (she can entertain your guests). after being in two multi-cat households, she is most suited in a single cat household where she’s the only pet. great for first time adopters. super guai during vet visits & takes her deworm pill like a champ.
she is currently on wet food diet twice a day, with kibbles as bedtime snack to boost her weight.
2 years young

fiv/felv-

sterilised

dewormed

vaccinated (1st dose)

revo-ed
cws guidelines apply. do note house has to be fully meshed.
adopter will need to reimburse her vet fee ($300) in full -> $200 sterilisation + $100 vet checks. receipt will be provided.
pls whatsapp 90555832 if keen",False,False,False,True,False,True,True,True,True,False,False,True,juvenile,chill,loves attention,sweet,3,yes,no,neutral,neutral,working full time,owned,no preference,yes,2023-05-15T02:51:46.649Z,2023-05-15T02:51:46.649Z
12,fd8e5177-f8cc-436a-ae82-a473ca5b4cc2,1681491031-20,https://petfinder6000images.s3.ap-southeast-1.amazonaws.com/cropped_1681491031-20.jpg,Miss Roti Prata,18,female,pedigree/cross,others,"loving, sweet, friendly",she is a very sweet affectionate gorgeous kitty. with her big green eyes she will melt your heart. are you the lucky one to get her as your bff?,False,False,False,False,False,True,True,False,True,False,False,False,juvenile,chill,neutral,sweet,5,neutral,neutral,neutral,neutral,working part time,rental with landlord’s consent,no allergies,yes,2023-05-15T02:51:09.967Z,2023-05-15T02:51:09.967Z
13,5eb0f12b-47a4-4dfd-9822-9a51954cc4ed,1681491478-220,https://petfinder6000images.s3.ap-southeast-1.amazonaws.com/cropped_1681491478-220.jpg,Adopt Baby Panda,2,male,domestic short hair,white,"talkative, sweet, friendly","this little cutie lives in a canteen where dog attacks and lorry accidents are rife
 he is really adorable and friendly
his cries can melt the steeliest heart. they are like a baby’s cries  a kind lady feeds the cats in this canteen daily and cages them up in the evening for their safety. please give this little cutie a home so that he will no longer have to be caged up or live in fear of the doggies or speeding lorries  thank you
you may read more about him and his friends at the canteen here: https://www.catwelfare.org/wcbprofiles/cat-teen-cats-need-help/",False,False,False,True,False,False,True,False,True,False,False,False,kitten,chill,loves attention,sweet,9,neutral,neutral,no,neutral,not working,owned,no allergies,yes,2023-05-15T02:51:12.749Z,2023-05-15T02:51:12.749Z
14,6e104908-8c00-45cd-ae3d-279dda0c3d9c,1681491471-217,https://petfinder6000images.s3.ap-southeast-1.amazonaws.com/cropped_1681491471-217.jpg,"Miko the loveable, Manja & playful male",24,male,domestic short hair,tabby,"playful, loving, sweet","we found miko on 01/01/21, just minutes after the new year, at our home carpark. he was just a skinny kitten and was meowing loudly, perhaps due to hunger. we brought him back to feed it, introduced it to our 1year old male bsh. they got along well, so we decided to keep him.,
after getting it checked up and sterilised, vet said it was a male, ard 4months old. he is now a healthy, playful yet manja one, as long as he is alone. probably best if he is the only cat at home. if you’re looking for a playmate who is manja and playful, he is the one for you! you’ll be amused with his ridiculous sleeping positions!",True,False,False,False,False,True,True,False,False,False,False,False,juvenile,high energy,neutral,sweet,9,neutral,no,neutral,neutral,not working,owned,no allergies,yes,2023-05-15T02:51:12.505Z,2023-05-15T02:51:12.505Z
15,6b33d102-9497-43c7-a7a3-a28d6a9d1880,1681491000-6,https://petfinder6000images.s3.ap-southeast-1.amazonaws.com/cropped_1681491000-6.jpg,Nana the Calicococo,120,female,domestic short hair,calico/tortie,sweet,"helping a kind hearted friend who helped adopting and rescuing cats.
name: nana

breed: domestic short hair

colour: calico

age: about 10years
nana the stray cat has been in the streets for many years.

she is a very sweet, demure calico. she love s to be pat on the head and enjoys chin and cheek rubs. she allow belly rub once she have trust you. nana is very independant and best in a single cat household.
a sad story often heard, she’s gotten sick and require long term medication and vet requires her to be indoors at all times due to her really low immune system.
requirements:

1. adopter/fosterer must be willing to bear cost for vet trips.

2. adopter/fosterer must be willing to keep in contact with current owner

3.
 no adoption fees, just the medical bills that we are willing to help fundraise
cat welfare adoption guidelines apply.

– compulsory house screening will be done by hope

– required to sign adoption contract

– windows and gate mesh

– keep cats strictly indoors only
please contact hope at 82236597. once requirements are met, potential adopters will we redirected to the fosterer to arrange a timing to visit the nana",False,False,False,False,False,False,True,False,False,False,False,False,senior,chill,neutral,sweet,7,no,no,neutral,neutral,no preference,owned,no preference,yes,2023-05-15T02:51:07.203Z,2023-05-15T02:51:07.203Z
16,20742dae-b5f4-4c5e-a401-b71e60539f10,1681491594-272,https://petfinder6000images.s3.ap-southeast-1.amazonaws.com/cropped_1681491594-272.jpg,Sweet babies Roux and Riley!,3,male,domestic short hair,white,no description available,"𝑹𝒐𝒖𝒙 𝒂𝒏𝒅 𝑹𝒊𝒍𝒆𝒚


these babies were born in woodlands industrial park and were living amidst the workers, trucks and heavy machinery.
they were the lucky ones who had angels who watched over them and fed them. eventually landing them the opportunity to be taken off to a safe place.
please dm me if you would like to give roux and riley a loving home. paired adoption only.
adoption fee applies. cws guidelines on responsible pet ownership applies. thank you.
roux(f) and riley(m)
-approximately 3.5 months old

-dewormed

-defleaed

-fiv/felv negative

-fcov negative

-fpv negative

-giardia negative
more cats for adoption on my instagram @jennlio",False,False,False,False,False,False,False,False,False,False,False,False,kitten,chill,neutral,neutral,9,neutral,neutral,neutral,neutral,not working,owned,no allergies,yes,2023-05-15T02:51:16.718Z,2023-05-15T02:51:16.718Z
17,00f490bd-182a-4907-b2f8-ba08617cf3d1,1681491442-204,https://petfinder6000images.s3.ap-southeast-1.amazonaws.com/cropped_1681491442-204.jpg,Mochi (m) is a strictly indoor kitty.,5,male,domestic short hair,others,no description available,"must be able to provide permanent home.  most importantly you must be able to give a lifetime commitment and provide a cat safe environment. prefer home with at least one kitty.
their safety is my utmost concern. windows must be installed with a cat safe grille. please note having a pet is a lifetime commitment.
if you are a foreigner living in a rental property, your landlord might not allowed pets. foreigner must be prepared to bring your pet with you when it is time for you to leave singapore.
please text by whatapps only to 98197935 if you are able to give them a permanent home.
1) please make sure you can give them a lifetime commitment before adopting.

2) ensure your home is cat safe to prevent accidentally falling off from highrise

3) must allowed home vistations.

4) must be kept strictly indoor.
there will be a adoption fee of $50 for both to help with the kitten milk, kibbles and catlitter
they are litterbox trained and on solid food.
adopters must agree to home vistations",False,False,False,False,False,False,False,False,False,False,False,False,kitten,chill,neutral,neutral,7,neutral,no,neutral,neutral,no preference,owned,no preference,yes,2023-05-15T02:51:36.739Z,2023-05-15T02:51:36.739Z
18,6e50851d-a207-4ef6-9916-34633cbe68b1,1681491469-216,https://petfinder6000images.s3.ap-southeast-1.amazonaws.com/cropped_1681491469-216.jpg,Burns Victim Maggie looking for forever home!,24,female,domestic short hair,tabby,no description available,"looking for a loving home.
a year ago, maggie was rescued as she was trapped in the engine of a moving vehicle.
she suffered terrible burns to her left leg and almost had it amputated.

thankfully it healed extremely well and she is able to walk, run and jump normally life before.

maggie is searching for her forever home. if you can offer maggie lots of love and promise take good care of her forever please drop me a dm!
please check out my ig account @jennlio for more pictures and stories of maggie.
adoption fee $200
health status:
-female
-sterilised
-approx 2-3 years old
-fiv/felv negative
-litter trained
** maggie prefers a home with adults only. thank you!
** cat safe home applies.
#adoption",False,False,False,False,False,False,False,False,False,False,False,False,juvenile,chill,neutral,neutral,4,neutral,neutral,neutral,no,working full time,no preference,no allergies,no preference,2023-05-15T02:51:12.366Z,2023-05-15T02:51:12.366Z
19,108063d8-1423-40c7-b82b-89347f9045db,1681491701-320,https://petfinder6000images.s3.ap-southeast-1.amazonaws.com/cropped_1681491701-320.jpg,Soy and Tofu,11,male,domestic short hair,others,"playful, active, curious","hi there!
soy and tofu are 11 month old brothers who are looking for their long term home. they are full of fun and love both each others’ company and plenty of fuss / playtime with their two-legged friends.
they are looking for a safe and welcoming home with space to explore, tasty soft and hard food and loving family that will share in their lives and affection.
they are fully vaccinated, sterilized and microchipped.
cws adoption contracts apply.",True,True,True,False,False,False,False,False,False,False,False,False,kitten,high energy,neutral,neutral,1,neutral,yes,neutral,neutral,working full time,owned,no allergies,yes,2023-05-15T02:51:41.123Z,2023-05-15T02:51:41.123Z
20,16949c4a-5b34-475b-8d9c-d180caaf6154,1681491308-144,https://petfinder6000images.s3.ap-southeast-1.amazonaws.com/cropped_1681491308-144.jpg,Lucky for Adoption,48,female,domestic short hair,black,"loving, shy","lucky is rescued from a factory along with her kids ‘choco’ and ‘coco’
environment she was found is harsh with no regular feeder and for some days, she has to pass through with empty stomach. she is sterilized, fleas/mites free, litter trained
 and vaccination in progress.
she is a little bit shy girl but with proper human interaction, she will become a good companion who will bring you a lot of joy. she is pretty and gorgeous girl.
 she can easily mingle with the existing kitty friends.
this little girl has gone through a lot of hardship throughout her life and do you want to give her safe and happy home for the rest of her life?
please contact me @ 86613049
 if you want to meet lucky.
1. you/your family own the place of residence or have obtained prior approval from the landlord if renting.
2. indoor only and not in a cage.
3. to be given necessary healthcare and fed with good quality food
4. require prevention for
 the cat from escaping or falling from height.
5. allow home visits by rescuer.",False,False,False,False,False,True,False,False,False,True,False,False,adult,chill,independent,sweet,7,neutral,yes,neutral,neutral,no preference,owned,no preference,yes,2023-05-15T02:51:12.064Z,2023-05-15T02:51:12.064Z
21,4fa32973-aa89-4c73-8ccb-ddb9589c77ae,1681491105-53,https://petfinder6000images.s3.ap-southeast-1.amazonaws.com/cropped_1681491105-53.jpg,Ecko,36,male,domestic short hair,white,"loving, sweet, friendly","ecko was rescued off the streets of a multi-cat community, he was found with many minor wounds whilst all the other cats there were fine.
he’s very very affectionate & people friendly, good with kids as well. he has never bitten or scratched us, allows his nails to he cut with some bit of struggle, adapts well to new environment. doesn’t do very well with other cats as he likes to pounce/stalk them but is okay with calm dogs.",False,False,False,False,False,True,True,False,True,False,False,False,adult,chill,neutral,sweet,1,neutral,no,yes,yes,working full time,owned,no allergies,yes,2023-05-15T02:51:23.168Z,2023-05-15T02:51:23.168Z
22,d4efb672-fe7b-4328-a58b-6b1125925c82,1681491723-329,https://petfinder6000images.s3.ap-southeast-1.amazonaws.com/cropped_1681491723-329.jpg,Shy Daikon,24,female,domestic short hair,white,shy,"oct 2021
daikon has to be adopted with misty
mischievous misty

daikon was found abandoned under a void deck. a shy gal who needs time to warm up.
to meet her, you can send a whatsapp to 96890460 and quote daikon to find out more. please take note of the following adoption requirements before contacting us:

primary caregiver/adopter must be a working adult as having a cat is a lifetime commitment with financial responsibilities.
meshing or installing small grilles (1.5inch gap) is a must for windows/gates to prevent the cat from escaping or falling from height.
cat must be kept indoors only and not in a cage. please ensure precautions are taken when bringing the cat out for walks etc. (leash and harness please!).
cat is to be given necessary vet care as and when needed (vaccinations, check-ups etc.)
cat must be given good quality cat food.
to allow a pre-adoption home visit and occasional visits by fosterer/rescuer (by appointment only)
to sign the adoption contract and pay a small adoption fee.",False,False,False,False,False,False,False,False,False,True,False,False,juvenile,chill,independent,neutral,3,neutral,yes,neutral,neutral,working full time,owned,no preference,yes,2023-05-15T02:51:41.655Z,2023-05-15T02:51:41.655Z
23,c4c51825-42a2-4ffe-8096-d3d0200df200,1681491574-263,https://petfinder6000images.s3.ap-southeast-1.amazonaws.com/cropped_1681491574-263.jpg,Friday (Grey Tuxedo Girl Cat),12,female,domestic short hair,others,"active, shy","adoption post: beautiful grey girl tuxedo
hi adopters! this is friday, she was found abandoned in a laundry basket in yishun. a lady had brought her home with the intention to keep her but faced some obstacles. so i took over friday’s rehoming.
shy at first, friday warmed up to me and the fosterer very fast on the first night. she has since become more confident. unfortunately, because she couldn’t get along with the resident cat, so she has been isolated in the dry toilet and fosterer rotate their living room roaming schedule. tends to get irritated very fast.
 grey tuxedo with a heart shape black nose. she also has bright and alert eyes.
 about 1 year old, her energy level is medium to high, easily excited with plays and may get over simulate and then nip the humans.
 litter box trained. confident cat, but still slightly traumatized by ber abandonment. potential adopter will require to understand cat’s body language and be patient to train her.
 not very food motivated, slightly picky and has sensitive gi. currently on quality daily delight wet food, loveabowl kibbles and on pre/probiotics to manage her sensitive gi.
 spayed, dwormed and deflea twice, showered once.
 fiv/felv negative! ears do require some attention as she is now on treatment for her yeast infection in ears.
: suitable to be the only cat in the household.
if you wish to get her to join your cat/cats, i will require the document of the fiv/felv status of your existing cat/cats.
as a young cat, she will live for at least another 15 to 20 years. therefore potential adopters should have the financial means to provide for her good quality of wet and dry food, healthy environment and love her unconditionally.
she’s currently at fosterer, visit can be arranged, but based on his availability. location: sembawang.
your home visit can be arranged as well but subject to my availability. weekends preferred for viewing.
100% reimbursement of her vet fees. (receipts in post).
potential adopters will be screened according to cws guidelines, especially meshing of windows (no soft mosquito mesh, unsure i can guide you). there’ll be signing of cws contract, post adoption visit and i will require regular updates if possible.
if you are a student under 18, i will need your parents’ consent and screen the family together. everyone in the family will have to agree to take care of the cat.
will you give her a place in your loving home?
please fill in this survey https://forms.gle/jbg8ofvn6lmmfkpe9
i will contact you for follow up if you are suitable match.",False,True,False,False,False,False,False,False,False,True,False,False,kitten,high energy,independent,neutral,8,no,no,neutral,neutral,student,parents,no allergies,yes,2023-05-15T02:51:08.899Z,2023-05-15T02:51:08.899Z
24,2b87337b-1179-42c8-b423-c0ec34bb6833,1681491098-50,https://petfinder6000images.s3.ap-southeast-1.amazonaws.com/cropped_1681491098-50.jpg,Blackey (LOOKING FOR ADOPTERS ASAP),60,male,domestic short hair,black,"loving, sweet, likes to be held, loves attention","looking for adopters
today is black cat appreciation day, i shall try one last time to post about him.
blackey was initially adopted but he didn’t find a suitable home for him. unfortunately, the adopter cannot hold him anymore and i will have to board him for a week while waiting for someone to adopt him. if we really cannot rehome him, i will have to resort to putting him back to the community.
i have previously posted about him before. he is the comm cat that we took care of, and someone threw screws inside his food. so we are fearful that someone might harm him. but in this case, we might have to put him back to the community

personality:
-loves to cuddle
-he loves attention and likes to sit nearby humans
-perfect companion
-he is a total lap cat

requirements for adopter:
1. meshed/cat proofed
2. willing to discipline him when he is naughty
3. possibly with some experience with cats
4. single cat household
5. are okay with helping him overcome his ptsd (he tends to get spooked and scratch humans, but he don’t mean any harm)


fiv/felv negative
vaccinated/dewormed
age: estimated 5 years old
no adoption fees



i know it is really sad. but i don’t have much option because boarding isn’t a long term solution because i don’t have much funds left to use on him.
please contact me if you’re able to help out",False,False,False,False,False,True,True,True,False,False,False,True,adult,chill,loves attention,sweet,1,no,no,neutral,neutral,working full time,owned,no allergies,yes,2023-05-15T02:51:23.061Z,2023-05-15T02:51:23.061Z
